year,week,total_vol,Detected,fit_total_vol_ensem,lwr_total_vol_ensem,upr_total_vol_ensem,fit_total_vol_1,lwr_total_vol_1,upr_total_vol_1,fit_total_vol_2,lwr_total_vol_2,upr_total_vol_2,w1,forecast_origin_id,last_obs_id,n_ahead,forecast_step,model,dep_var,Prior
2016,3,333,1,351.7125048,0,1205.586693,390.8685029,0,1413.052473,277.4751298,0,1523.840072,0.623604694,2,52,1,1,kf_ensemble,total_vol,informative
2016,4,421,5,315.3299888,0,1490.097755,345.9482648,0,1751.219815,245.570093,0,1894.282933,0.623604694,2,52,1,2,kf_ensemble,total_vol,informative
2016,4,421,5,268.6528565,0,977.2522786,296.5110437,0,1332.676603,223.4428505,0,707.5321809,0.609803447,3,52,1,1,kf_ensemble,total_vol,informative
2016,5,301,2,261.7211186,0,1633.941225,301.6692763,0,1949.097939,177.3532219,0,2047.754054,0.623604694,2,52,1,3,kf_ensemble,total_vol,informative
2016,5,301,2,234.2802773,0,1202.599866,261.523571,0,1682.026392,191.5711788,0,809.7281071,0.609803447,3,52,1,2,kf_ensemble,total_vol,informative
2016,5,301,2,319.4253085,0,1023.663358,366.4821089,0,1408.022319,247.7543316,9.86061118,633.8512171,0.599472201,4,52,1,1,kf_ensemble,total_vol,informative
2016,6,571,3,244.1150169,0,1714.170178,267.0432003,0,2068.371765,178.6361397,0,2205.476671,0.623604694,2,52,1,4,kf_ensemble,total_vol,informative
2016,6,571,3,203.7621894,0,1319.083141,229.3676262,0,1874.567492,165.0205508,0,852.8223015,0.609803447,3,52,1,3,kf_ensemble,total_vol,informative
2016,6,571,3,282.2439079,0,1227.123162,325.5331668,0,1747.889612,214.8943081,0,688.8316888,0.599472201,4,52,1,2,kf_ensemble,total_vol,informative
2016,6,571,3,249.2334359,0,900.5843631,268.7846499,0,1300.119452,219.4846172,0.055200073,518.3021352,0.58834872,5,52,1,1,kf_ensemble,total_vol,informative
2016,7,537,3,181.1075409,0,1402.968848,206.4583417,0,2007.906991,139.9934678,0,877.3674511,0.609803447,3,52,1,4,kf_ensemble,total_vol,informative
2016,7,537,3,248.5135087,0,1337.461487,288.3671864,0,1939.972565,185.9613896,0,694.2595162,0.599472201,4,52,1,3,kf_ensemble,total_vol,informative
2016,7,537,3,218.3877793,0,1109.81217,236.6935294,0,1631.660094,191.4173466,0,557.2585783,0.58834872,5,52,1,2,kf_ensemble,total_vol,informative
2016,7,537,3,439.5437703,0,1119.293106,500.4449468,0,1539.935452,347.3270997,49.02702756,767.08058,0.591883616,6,52,1,1,kf_ensemble,total_vol,informative
2016,8,481,3,215.0485888,0,1401.375132,249.2676514,0,2051.942516,161.4078582,0,713.5407917,0.599472201,4,52,1,4,kf_ensemble,total_vol,informative
2016,8,481,3,192.4243491,0,1222.189193,209.2523764,0,1840.832622,168.5536669,0,590.7873739,0.58834872,5,52,1,3,kf_ensemble,total_vol,informative
2016,8,481,3,387.210556,0,1292.603423,442.671505,0,1850.235285,304.2890891,0,825.37707,0.591883616,6,52,1,2,kf_ensemble,total_vol,informative
2016,8,481,3,432.1886344,0,1088.920559,465.0767987,0,1505.490271,382.6177844,74.40883549,759.9078077,0.575842253,7,52,1,1,kf_ensemble,total_vol,informative
2016,9,693,6,164.8127691,0,1295.917411,178.8424998,0,1965.54196,147.8928354,0,592.8290795,0.58834872,5,52,1,4,kf_ensemble,total_vol,informative
2016,9,693,6,340.0158217,0,1398.686192,390.2851637,0,2014.680737,264.1175531,0,843.3561345,0.591883616,6,52,1,3,kf_ensemble,total_vol,informative
2016,9,693,6,378.1035337,0,1255.701819,405.6476543,0,1805.530027,333.5198653,0,809.8165168,0.575842253,7,52,1,2,kf_ensemble,total_vol,informative
2016,9,693,6,403.6489154,0,1029.892548,424.9012893,0,1449.244244,374.1619083,79.58149044,701.4606851,0.561031899,8,52,1,1,kf_ensemble,total_vol,informative
2016,10,796,11,296.8025065,0,1474.045744,340.5247192,0,2126.227725,229.3481121,0,841.1587883,0.591883616,6,52,1,4,kf_ensemble,total_vol,informative
