year,week,total_vol,Detected,diff_total_vol,diff_Detected,lag_total_vol,lag_Detected,fit_total_vol,lwr_total_vol,upr_total_vol,Kalman_gain_total_vol,fit_Detected,lwr_Detected,upr_Detected,Kalman_gain_Detected,seasonal_Year,forecast_origin_id,last_obs_id,n_ahead,forecast_step,model,dep_var,Prior,diff_fit_total_vol,diff_lwr_total_vol,diff_upr_total_vol,diff_fit_Detected,diff_lwr_Detected,diff_upr_Detected,fit_total_vol_new,lwr_total_vol_new,upr_total_vol_new,fit_Detected_new,lwr_Detected_new,upr_Detected_new,fit_Detected_vol,lwr_Detected_vol,upr_Detected_vol
2016,3,333,1,0,0,452,6,754.6195589,452,1757.64632,0.999898399,12.90564198,0,62.81752569,0.948224992,2016,2,52,4,1,bivar_kfar1gaussJags8_2_diff,bivar,informative,302.6195589,0,1305.64632,12.90564198,0,62.81752569,754.6195589,452,1757.64632,18.90564198,6,68.81752569,18.90564198,6,68.81752569
2016,4,421,5,88,4,333,1,1008.900887,452,3337.248518,0.999898405,11.2352222,0,73.9916185,0.949022157,2016,2,52,4,2,bivar_kfar1gaussJags8_2_diff,bivar,informative,254.2813282,0,1579.602199,11.2352222,0,73.9916185,1008.900887,452,3337.248518,30.14086418,6,142.8091442,30.14086418,6,142.8091442
2016,4,421,5,88,4,333,1,333,333,1197.206692,0.999922206,0,0,34.15884769,0.94848326,2016,3,52,4,1,bivar_kfar1gaussJags8_2_diff,bivar,informative,0,0,864.2066918,0,0,34.15884769,333,333,1197.206692,1,1,35.15884769,1,1,35.15884769
2016,5,301,2,0,0,421,5,544.1468733,333,2877.464932,0.999898406,12.49039064,0,85.47937118,0.949250003,2016,2,52,4,3,bivar_kfar1gaussJags8_2_diff,bivar,informative,211.1468733,0,1680.25824,12.49039064,0,85.47937118,544.1468733,333,2877.464932,13.49039064,1,120.6382189,13.49039064,1,120.6382189
2016,5,301,2,0,0,421,5,NA,NA,NA,0.999922206,0,0,48.48176868,0.948687087,2016,3,52,4,2,bivar_kfar1gaussJags8_2_diff,bivar,informative,0,0,1153.682214,0,0,48.48176868,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,301,2,0,0,421,5,496.9140458,421,1341.924035,0.999869788,4.214709593,0,34.80116157,0.944892776,2016,4,52,4,1,bivar_kfar1gaussJags8_2_diff,bivar,informative,75.91404584,0,920.9240354,4.214709593,0,34.80116157,496.9140458,421,1341.924035,9.214709593,5,39.80116157,9.214709593,5,39.80116157
2016,6,571,3,270,1,301,2,675.7981212,421,3110.148564,0.999898406,14.26930309,0,97.59362355,0.949250003,2016,2,52,4,4,bivar_kfar1gaussJags8_2_diff,bivar,informative,178.8840754,0,1768.224529,14.26930309,0,97.59362355,675.7981212,421,3110.148564,23.48401268,5,137.3947851,23.48401268,5,137.3947851
2016,6,571,3,270,1,301,2,NA,NA,NA,0.999922206,0,0,60.35706984,0.948756278,2016,3,52,4,3,bivar_kfar1gaussJags8_2_diff,bivar,informative,0,0,1361.950564,0,0,60.35706984,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,571,3,270,1,301,2,NA,NA,NA,0.999869788,4.908120252,0,47.22224356,0.944952496,2016,4,52,4,2,bivar_kfar1gaussJags8_2_diff,bivar,informative,67.38901229,0,1164.501733,4.908120252,0,47.22224356,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,571,3,270,1,301,2,301,301,963.4934302,0.999833389,0,0,23.95482694,0.949209613,2016,5,52,4,1,bivar_kfar1gaussJags8_2_diff,bivar,informative,0,0,662.4934302,0,0,23.95482694,301,301,963.4934302,2,2,25.95482694,2,2,25.95482694
2016,7,537,3,0,0,571,3,301,301,2422.996131,0.999922206,1.511030331,0,70.26810773,0.948756278,2016,3,52,4,4,bivar_kfar1gaussJags8_2_diff,bivar,informative,0,0,1459.502701,1.511030331,0,70.26810773,301,301,2422.996131,3.511030331,2,96.22293467,3.511030331,2,96.22293467
2016,7,537,3,0,0,571,3,NA,NA,NA,0.999869788,5.680063173,0,55.88690872,0.94497537,2016,4,52,4,3,bivar_kfar1gaussJags8_2_diff,bivar,informative,61.31527765,0,1334.747976,5.680063173,0,55.88690872,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,537,3,0,0,571,3,NA,NA,NA,0.999833389,0,0,34.76996151,0.949219689,2016,5,52,4,2,bivar_kfar1gaussJags8_2_diff,bivar,informative,0,0,928.228513,0,0,34.76996151,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,537,3,0,0,571,3,797.6661298,571,1573.462414,0.999897634,1.554109343,0,23.89681544,0.947742007,2016,6,52,4,1,bivar_kfar1gaussJags8_2_diff,bivar,informative,226.6661298,0,1002.462414,1.554109343,0,23.89681544,797.6661298,571,1573.462414,4.554109343,3,26.89681544,4.554109343,3,26.89681544
2016,8,481,3,0,0,537,3,850.5595681,571,2996.163846,0.999869788,7.052116173,0,65.76939291,0.94497537,2016,4,52,4,4,bivar_kfar1gaussJags8_2_diff,bivar,informative,52.8934383,0,1422.701432,7.052116173,0,65.76939291,850.5595681,571,2996.163846,11.60622552,3,92.66620835,11.60622552,3,92.66620835
2016,8,481,3,0,0,537,3,NA,NA,NA,0.999833389,0.577102316,0,44.46917823,0.949223268,2016,5,52,4,3,bivar_kfar1gaussJags8_2_diff,bivar,informative,0,0,1077.13548,0.577102316,0,44.46917823,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,481,3,0,0,537,3,NA,NA,NA,0.999897634,2.48326753,0,34.40334522,0.947745111,2016,6,52,4,2,bivar_kfar1gaussJags8_2_diff,bivar,informative,191.7148907,0,1177.341043,2.48326753,0,34.40334522,NA,NA,NA,NA,NA,NA,NA,NA,NA
