"year","week","forecast_origin_id","forecast_step","total_vol","Detected","model","dep_var","fit","lwr","upr","res","within_CI"
2016,3,2,1,333,1,"kalman_filter","total_vol",351.7125048,0,1205.586693,-18.7125048,1
2016,4,2,2,421,5,"kalman_filter","total_vol",315.3299888,0,1490.097755,105.6700112,1
2016,4,3,1,421,5,"kalman_filter","total_vol",268.6528565,0,977.2522786,152.3471435,1
2016,5,2,3,301,2,"kalman_filter","total_vol",261.7211186,0,1633.941225,39.2788814,1
2016,5,3,2,301,2,"kalman_filter","total_vol",234.2802773,0,1202.599866,66.7197227,1
2016,5,4,1,301,2,"kalman_filter","total_vol",319.4253085,0,1023.663358,-18.4253085,1
2016,6,2,4,571,3,"kalman_filter","total_vol",244.1150169,0,1714.170178,326.8849831,1
2016,6,3,3,571,3,"kalman_filter","total_vol",203.7621894,0,1319.083141,367.2378106,1
2016,6,4,2,571,3,"kalman_filter","total_vol",282.2439079,0,1227.123162,288.7560921,1
2016,6,5,1,571,3,"kalman_filter","total_vol",249.2334359,0,900.5843631,321.7665641,1
2016,7,3,4,537,3,"kalman_filter","total_vol",181.1075409,0,1402.968848,355.8924591,1
2016,7,4,3,537,3,"kalman_filter","total_vol",248.5135087,0,1337.461487,288.4864913,1
2016,7,5,2,537,3,"kalman_filter","total_vol",218.3877793,0,1109.81217,318.6122207,1
2016,7,6,1,537,3,"kalman_filter","total_vol",439.5437703,0,1119.293106,97.4562297,1
2016,8,4,4,481,3,"kalman_filter","total_vol",215.0485888,0,1401.375132,265.9514112,1
2016,8,5,3,481,3,"kalman_filter","total_vol",192.4243491,0,1222.189193,288.5756509,1
2016,8,6,2,481,3,"kalman_filter","total_vol",387.210556,0,1292.603423,93.789444,1
2016,8,7,1,481,3,"kalman_filter","total_vol",432.1886344,0,1088.920559,48.8113656,1
2016,9,5,4,693,6,"kalman_filter","total_vol",164.8127691,0,1295.917411,528.1872309,1
2016,9,6,3,693,6,"kalman_filter","total_vol",340.0158217,0,1398.686192,352.9841783,1
2016,9,7,2,693,6,"kalman_filter","total_vol",378.1035337,0,1255.701819,314.8964663,1
2016,9,8,1,693,6,"kalman_filter","total_vol",403.6489154,0,1029.892548,289.3510846,1
2016,10,6,4,796,11,"kalman_filter","total_vol",296.8025065,0,1474.045744,499.1974935,1
2016,10,7,3,796,11,"kalman_filter","total_vol",332.2016715,0,1368.139632,463.7983285,1
2016,10,8,2,796,11,"kalman_filter","total_vol",358.4234911,0,1229.780438,437.5765089,1
2016,10,9,1,796,11,"kalman_filter","total_vol",558.9938296,0,1188.948767,237.0061704,1
2016,11,7,4,553,3,"kalman_filter","total_vol",291.8825431,0,1427.129186,261.1174569,1
2016,11,8,3,553,3,"kalman_filter","total_vol",312.731616,0,1308.438862,240.268384,1
2016,11,9,2,553,3,"kalman_filter","total_vol",490.6831354,0,1353.926318,62.3168646,1
2016,11,10,1,553,3,"kalman_filter","total_vol",652.4026228,29.16956597,1289.584014,-99.4026228,1
2016,12,8,4,508,3,"kalman_filter","total_vol",270.6816162,0,1358.927912,237.3183838,1
2016,12,9,3,508,3,"kalman_filter","total_vol",431.3810553,0,1437.017526,76.6189447,1
2016,12,10,2,508,3,"kalman_filter","total_vol",573.3041654,0,1433.013727,-65.3041654,1
2016,12,11,1,508,3,"kalman_filter","total_vol",489.986243,0,1100.255527,18.013757,1
2016,13,9,4,696,16,"kalman_filter","total_vol",379.1762154,0,1466.28233,316.8237846,1
2016,13,10,3,696,16,"kalman_filter","total_vol",504.0569682,0,1504.827691,191.9430318,1
2016,13,11,2,696,16,"kalman_filter","total_vol",432.2138772,0,1265.328257,263.7861228,1
2016,13,12,1,696,16,"kalman_filter","total_vol",448.4438413,0,1046.086836,247.5561587,1
2016,14,10,4,1126,41,"kalman_filter","total_vol",445.5887677,0,1559.886115,680.4112323,1
2016,14,11,3,1126,41,"kalman_filter","total_vol",381.6006223,0,1366.751408,744.3993777,1
2016,14,12,2,1126,41,"kalman_filter","total_vol",392.5624052,0,1199.753962,733.4375948,1
2016,14,13,1,1126,41,"kalman_filter","total_vol",577.4109603,0,1189.859448,548.5890397,1
2016,15,11,4,408,0,"kalman_filter","total_vol",333.7211961,0,1403.048846,74.2788039,1
2016,15,12,3,408,0,"kalman_filter","total_vol",346.8391676,0,1289.212921,61.1608324,1
2016,15,13,2,408,0,"kalman_filter","total_vol",510.1460596,0,1329.960762,-102.1460596,1
2016,15,14,1,408,0,"kalman_filter","total_vol",925.9157786,297.7945543,1563.839645,-517.9157786,1
2016,16,12,4,1432,135,"kalman_filter","total_vol",307.3778514,0,1333.339166,1124.6221486,0
2016,16,13,3,1432,135,"kalman_filter","total_vol",447.9112652,0,1402.387894,984.0887348,0
2016,16,14,2,1432,135,"kalman_filter","total_vol",819.5202319,0,1686.054447,612.4797681,1
2016,16,15,1,1432,135,"kalman_filter","total_vol",400.4764694,0,1048.902223,1031.5235306,0
2016,17,13,4,2459,235,"kalman_filter","total_vol",396.1099926,0,1438.772774,2062.8900074,0
2016,17,14,3,2459,235,"kalman_filter","total_vol",724.1171606,0,1732.582903,1734.8828394,0
2016,17,15,2,2459,235,"kalman_filter","total_vol",352.0568828,0,1229.661631,2106.9431172,0
2016,17,16,1,2459,235,"kalman_filter","total_vol",1159.000156,449.660152,1894.642835,1299.999844,0
2016,18,14,4,1254,81,"kalman_filter","total_vol",639.6059282,0,1751.372183,614.3940718,1
2016,18,15,3,1254,81,"kalman_filter","total_vol",310.9158595,0,1334.887508,943.0841405,1
2016,18,16,2,1254,81,"kalman_filter","total_vol",1018.603528,42.97215882,2014.639735,235.396472,1
2016,18,17,1,1254,81,"kalman_filter","total_vol",2085.145286,1303.921696,2870.909781,-831.145286,0
2016,19,15,4,2210,264,"kalman_filter","total_vol",270.4283167,0,1391.275951,1939.5716833,0
2016,19,16,3,2210,264,"kalman_filter","total_vol",893.0843562,0,2046.563395,1316.9156438,0
2016,19,17,2,2210,264,"kalman_filter","total_vol",1826.163763,733.8605628,2906.951504,383.836237,1
2016,19,18,1,2210,264,"kalman_filter","total_vol",1125.719129,331.8230304,1913.768022,1084.280871,0
2016,20,16,4,1068,109,"kalman_filter","total_vol",784.6609802,0,2056.989751,283.3390198,1
2016,20,17,3,1068,109,"kalman_filter","total_vol",1600.689522,352.6612894,2865.721002,-532.689522,1
2016,20,18,2,1068,109,"kalman_filter","total_vol",979.8172861,0,2063.761768,88.1827139,1
2016,20,19,1,1068,109,"kalman_filter","total_vol",1868.178911,1036.565348,2710.007168,-800.178911,1
2016,21,17,4,832,50,"kalman_filter","total_vol",1407.370282,15.20131754,2792.801401,-575.370282,1
2016,21,18,3,832,50,"kalman_filter","total_vol",852.0821877,0,2128.544608,-20.0821877,1
2016,21,19,2,832,50,"kalman_filter","total_vol",1629.713048,498.8711468,2773.757887,-797.713048,1
2016,21,20,1,832,50,"kalman_filter","total_vol",975.0849219,138.9632859,1794.125796,-143.0849219,1
2016,22,18,4,620,0,"kalman_filter","total_vol",745.8529053,0,2146.740634,-125.8529053,1
2016,22,19,3,620,0,"kalman_filter","total_vol",1426.549444,115.8154605,2757.63402,-806.549444,1
2016,22,20,2,620,0,"kalman_filter","total_vol",850.9693499,0,1985.348964,-230.9693499,1
2016,22,21,1,620,0,"kalman_filter","total_vol",730.2103856,0,1541.720961,-110.2103856,1
